Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
291875,Lagoa Real,2,0,0,16029,0.012477384740158463
291880,Laje,8,0,0,24306,0.032913683864066484
291890,Lajedão,2,0,0,4068,0.049164208456243856
291900,Lajedinho,0,0,0,4017,0.0
291905,Lajedo do Tabocal,1,0,0,8886,0.011253657438667568
291910,Lamarão,1,0,0,9007,0.011102475852115021
291915,Lapão,6,0,0,28244,0.02124344993626965
291920,Lauro de Freitas,203,1,3,197636,0.10271408043069076
291930,Lençóis,4,1,4,11636,0.034376074252320386
291940,Licínio de Almeida,4,0,0,12969,0.030842778934381986
291950,Livramento de Nossa Senhora,3,0,0,46739,0.006418622563597852
291955,Luís Eduardo Magalhães,16,0,0,83557,0.019148605143794056
291960,Macajuba,2,0,0,11879,0.016836434043269635
291970,Macarani,6,0,0,19110,0.03139717425431711
291980,Macaúbas,0,0,0,50987,0.0
291990,Macururé,3,0,0,8266,0.03629324945560126
291992,Madre de Deus,8,1,2,21007,0.03808254391393345
291995,Maetinga,1,0,0,4456,0.02244165170556553
292000,Maiquinique,2,0,0,10274,0.019466614755693983
292010,Mairi,11,0,0,19695,0.05585173902005585
292020,Malhada,2,0,0,17526,0.011411617026132604
292030,Malhada de Pedras,0,0,0,8856,0.0
292040,Manoel Vitorino,8,0,0,14251,0.05613641147989615
292045,Mansidão,3,0,0,13959,0.02149151085321298
292050,Maracás,7,1,2,23018,0.030410982709184117
292060,Maragogipe,11,1,3,46260,0.023778642455685256
292070,Maraú,5,1,4,21313,0.023459860179233332
292080,Marcionílio Souza,0,0,0,10931,0.0
292090,Mascote,4,0,0,14728,0.027159152634437807
292100,Mata de São João,30,1,4,46998,0.06383250351078769
292105,Matina,3,0,0,12488,0.024023062139654067
292110,Medeiros Neto,21,0,0,23586,0.08903586873569067
292120,Miguel Calmon,4,1,2,27520,0.014534883720930232
292130,Milagres,8,1,2,11585,0.06905481225722918
292140,Mirangaba,3,1,2,18729,0.016017940092904054
292145,Mirante,1,0,0,9578,0.01044059302568386
292150,Monte Santo,1,0,0,51953,0.0019248166612130194
292160,Morpará,4,0,0,8950,0.0446927374301676
292170,Morro do Chapéu,29,0,0,36856,0.07868461037551552
292180,Mortugaba,0,0,0,12529,0.0
292190,Mucugê,1,1,3,9957,0.010043185698503565
292200,Mucuri,26,1,4,42072,0.061798821068644226
292205,Mulungu do Morro,3,0,0,11988,0.025025025025025027
292210,Mundo Novo,5,0,0,27364,0.018272182429469375
292220,Muniz Ferreira,2,1,2,7678,0.026048450117218024
292225,Muquém de São Francisco,4,0,0,11644,0.034352456200618345
292230,Muritiba,3,0,0,30631,0.009793999542946689
292240,Mutuípe,7,1,2,22998,0.030437429341681886
292250,Nazaré,23,1,2,29546,0.07784471671292223
292260,Nilo Peçanha,3,0,0,14368,0.020879732739420936
292265,Nordestina,4,0,0,13597,0.02941825402662352
292270,Nova Canaã,7,0,0,17141,0.0408377574237209
292273,Nova Fátima,0,0,0,8119,0.0
