Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
292140,Mirangaba,3,1,2,18729,0.0160179400929041
292145,Mirante,1,0,0,9578,0.0104405930256839
292150,Monte Santo,1,0,0,51953,0.00192481666121302
292160,Morpará,4,0,0,8950,0.0446927374301676
292170,Morro do Chapéu,29,0,0,36856,0.0786846103755155
292180,Mortugaba,0,0,0,12529,0.0
292190,Mucugê,1,1,3,9957,0.0100431856985036
292200,Mucuri,26,1,4,42072,0.0617988210686442
292205,Mulungu do Morro,3,0,0,11988,0.025025025025025
292210,Mundo Novo,5,0,0,27364,0.0182721824294694
292220,Muniz Ferreira,2,1,1,7678,0.026048450117218
292225,Muquém de São Francisco,4,0,0,11644,0.0343524562006183
292230,Muritiba,3,0,0,30631,0.00979399954294669
292240,Mutuípe,7,1,2,22998,0.0304374293416819
292250,Nazaré,23,1,2,29546,0.0778447167129222
292260,Nilo Peçanha,3,0,0,14368,0.0208797327394209
292265,Nordestina,4,0,0,13597,0.0294182540266235
292270,Nova Canaã,7,0,0,17141,0.0408377574237209
292273,Nova Fátima,0,0,0,8119,0.0
292275,Nova Ibiá,1,0,0,6986,0.0143143429716576
292280,Nova Itarana,7,0,0,8428,0.0830564784053156
292285,Nova Redenção,1,1,2,9500,0.0105263157894737
292290,Nova Soure,14,0,0,25460,0.0549882168106834
292300,Nova Viçosa,43,1,3,44052,0.0976119131934986
292303,Novo Horizonte,1,0,0,12514,0.00799105002397315
292305,Novo Triunfo,2,0,0,16037,0.0124711604414791
292310,Olindina,11,0,0,29227,0.0376364320662401
292320,Oliveira dos Brejinhos,2,0,0,22805,0.00877000657750493
292330,Ouriçangas,3,0,0,8916,0.0336473755047106
292335,Ourolândia,7,1,2,18025,0.0388349514563107
292340,Palmas de Monte Alto,1,0,0,22553,0.00443399991132
292350,Palmeiras,0,1,3,9250,0.0
292360,Paramirim,1,1,2,22286,0.00448712195997487
292370,Paratinga,4,0,0,32967,0.0121333454666788
292380,Paripiranga,12,1,2,30075,0.0399002493765586
292390,Pau Brasil,2,1,2,10673,0.018738873793685
292400,Paulo Afonso,101,1,4,120706,0.0836743823836429
292405,Pé de Serra,0,0,0,14226,0.0
292410,Pedrão,2,0,0,7527,0.0265710110269696
292420,Pedro Alexandre,4,0,0,18209,0.0219671590971498
292430,Piatã,3,1,2,18267,0.0164230579733946
292440,Pilão Arcado,4,0,0,35740,0.0111919418019026
292450,Pindaí,0,0,0,16889,0.0
292460,Pindobaçu,10,1,1,21171,0.0472344244485381
292465,Pintadas,1,0,0,11012,0.00908100254268071
292467,Piraí do Norte,1,0,0,10411,0.00960522524253194
292470,Piripá,6,0,0,11849,0.0506371845725378
292480,Piritiba,2,0,0,25211,0.00793304509936139
292490,Planaltino,1,0,0,9582,0.010436234606554
292500,Planalto,21,0,0,26915,0.0780234070221066
